yellow 	   colour ,  color   | 0.0 | .1 | 2
court 	   woo ,  romance ,  act ,  move ,  chase ,  display   | 0.0 | .1 | 7
brand 	   mark ,  stigmatise ,  denounce ,  label ,  post ,  call   | 0.0 | .1 | 7
adopt 	   follow ,  espouse ,  choose ,  take ,  select ,  borrow ,  accept ,  have ,  assume ,  acquire ,  change ,  write ,  pen ,  embrace ,  resume ,  stick ,  adhere   | 0.0 | .1 | 20
interest 	   arouse ,  elicit ,  kindle ,  evoke ,  fire ,  raise ,  provoke ,  concern ,  occupy ,  worry ,  refer ,  pertain ,  relate ,  touch ,  absorb ,  intrigue ,  engross ,  engage ,  fascinate* ,  grip   | 0.0 | .1 | 15
stomach 	   digest ,  endure ,  bear ,  stand ,  tolerate ,  support ,  brook ,  abide ,  suffer ,  permit ,  allow ,  let ,  take ,  pay ,  accept ,  undergo ,  submit ,  swallow   | 0.0 | .1 | 13
vouch 	   testify ,  attest ,  guarantee ,  pledge ,  plight ,  summon ,  cite ,  confirm ,  corroborate ,  sustain* ,  support ,  affirm ,  bail ,  secure ,  stipulate   | 0.0 | .1 | 12
steel 	   nerve ,  brace ,  poise ,  cover   | 0.0 | .1 | 4
condone 	   excuse ,  forgive   | 0.0 | .1 | 2
bother 	   trouble ,  strive ,  reach ,  strain ,  annoy ,  rag ,  irritate ,  rile ,  gravel ,  vex ,  devil ,  inconvenience ,  affect ,  impact ,  touch ,  intrude ,  agitate ,  rouse ,  charge ,  excite ,  confuse ,  flurry ,  beset^ ,  fret ,  chevy ,  harry ,  plague ,  grate ,  get ,  harass ,  provoke ,  hassle   | 0.0 | .1 | 23
brief 	   instruct   | 0.0 | .1 | 1
amble 	   walk   | 0.0 | .1 | 1
accuse 	   charge ,  accuse ,  blame^ ,  file ,  fault   | 0.0 | .1 | 3
shrink 	   wither ,  decrease^ ,  diminish ,  lessen ,  fall ,  funk ,  recoil ,  move ,  reduce ,  contract ,  reef ,  flex   | 0.0 | .1 | 20
spell 	   import ,  mean ,  intend ,  write ,  relieve ,  glamour ,  enchant ,  jinx ,  alternate   | 0.0 | .1 | 9
gentle 	   pacify ,  appease ,  placate ,  calm ,  quiet ,  tranquillise ,  quieten ,  still ,  entitle ,  promote ,  upgrade ,  advance ,  raise ,  pet ,  lord ,  dub ,  knight   | 0.0 | .1 | 14
prohibit^ 	   forbid ,  veto ,  disallow ,  command ,  require ,  compel ,  outlaw ,  bar ,  exclude ,  ban   | -1.0 | .1 | 6
document 	   record ,  enter ,  confirm ,  corroborate ,  sustain* ,  support ,  affirm ,  source   | 0.0 | .1 | 7
mill 	   move ,  grind ,  mash ,  crunch ,  roll   | 0.0 | .1 | 5
demolish 	   destroy ,  crush ,  smash ,  humble ,  overcome ,  defeat ,  swallow   | 0.0 | .1 | 7
gang 	   group   | 0.0 | .1 | 1
reproduce 	   produce ,  make ,  create ,  multiply ,  repeat ,  echo ,  copy ,  simulate ,  replay ,  print ,  cover ,  breed ,  double ,  catch ,  fingerprint ,  imitate ,  get ,  set ,  replicate   | 0.0 | .1 | 8
soar 	   surge* ,  zoom ,  rise ,  lift ,  arise* ,  uprise ,  fly ,  pilot ,  wing ,  climb ,  glide   | 0.0 | .1 | 13
satisfy 	   fulfill ,  fulfil ,  meet ,  fit ,  gratify ,  fill ,  provide ,  supply ,  ply ,  cater ,  allay ,  stay ,  cover ,  do ,  content ,  delight ,  serve ,  answer ,  quell ,  please ,  appease ,  suffice   | 0.0 | .1 | 13
pitch 	   toss ,  sky ,  fling ,  lurch ,  shift ,  move ,  descend ,  fall ,  set ,  peddle ,  hawk ,  vend ,  deal ,  sell ,  trade ,  slope ,  incline ,  lean ,  tilt ,  tip ,  angle ,  erect ,  deliver ,  throw ,  hit ,  play ,  gear ,  adapt* ,  accommodate ,  climb ,  dip ,  camp ,  ascend ,  lag   | 0.0 | .1 | 31
assert 	   maintain ,  insist ,  affirm ,  verify ,  aver ,  swan ,  swear ,  declare ,  behave ,  bear ,  conduct ,  carry ,  hold ,  assure* ,  say ,  protest ,  take ,  tell ,  claim ,  attest ,  predicate ,  proclaim ,  allege   | 0.0 | .1 | 13
lust 	   crave ,  starve ,  desire ,  want   | 0.0 | .1 | 4
visa 	   endorse ,  approve ,  okay ,  sanction   | 0.0 | .1 | 4
sweep 	   brush ,  move ,  sail ,  wipe ,  tangle ,  drag ,  involve ,  cross ,  span ,  cover ,  continue ,  extend ,  clean ,  win* ,  swing ,  wield ,  handle ,  swan ,  rake   | 0.0 | .1 | 21
reignite 	   ignite ,  light   | 0.0 | .1 | 2
breed 	   spawn ,  cause ,  do ,  make ,  cover ,  mate ,  pair ,  couple ,  produce ,  create ,  multiply ,  reproduce ,  cross   | 0.0 | .1 | 14
face 	   confront ,  approach ,  meet ,  encounter ,  play ,  front ,  look ,  lie ,  be ,  turn ,  present ,  disclose^ ,  expose ,  line ,  cover ,  oppose ,  undertake ,  match ,  breast ,  tackle   | 0.0 | .1 | 17
furnish 	   supply ,  provide ,  give ,  furnish ,  glass ,  partner ,  ticket ,  headline ,  bush ,  patch ,  extend ,  heat ,  flood ,  step ,  bottom ,  stint ,  fret ,  afford ,  date ,  match ,  equip ,  edge ,  caption ,  rail ,  leverage ,  stock ,  fire ,  fund ,  fit ,  wive ,  yield ,  pour ,  index ,  tool ,  ramp ,  glut ,  top ,  railroad ,  scant ,  fuel ,  bed ,  provision ,  offer ,  tube ,  charge ,  grate ,  canal ,  border ,  joint ,  tap ,  glaze ,  articulate ,  pump ,  water ,  arm ,  theme ,  seat ,  gate ,  feed ,  outfit ,  coal ,  curtain ,  key ,  shelter ,  hat ,  capitalize   | 0.0 | .1 | 6
paint 	   create ,  coat ,  surface ,  represent ,  interpret ,  cover ,  ground ,  prime ,  repaint ,  charge ,  grain ,  shade   | 0.0 | .1 | 6
rough 	   prepare   | 0.0 | .1 | 1
redirect 	   send ,  direct   | 0.0 | .1 | 2
quicken 	   accelerate ,  speed ,  intensify ,  deepen ,  stimulate ,  excite ,  stir ,  move ,  animate ,  revive ,  renovate ,  repair ,  arouse ,  brace ,  energize ,  brisk   | 0.0 | .1 | 18
ride 	   sit ,  travel ,  go ,  move ,  continue ,  proceed ,  keep ,  rag ,  bait ,  taunt ,  rally ,  mock ,  float ,  drive ,  lie ,  climb ,  mount ,  journey ,  engage ,  mesh ,  lock ,  operate ,  mate ,  pair ,  couple ,  kid ,  extend ,  bicycle ,  train ,  rail ,  flout ,  tool ,  boat ,  wheel ,  josh ,  cycle ,  tube ,  thumb ,  taxi ,  jolly ,  sleigh ,  hitch ,  bike ,  cab ,  bus ,  override ,  scoff ,  barrack ,  gibe   | 0.0 | .1 | 34
gobble 	   eat ,  utter ,  emit   | 0.0 | .1 | 3
exchange 	   change ,  interchange ,  transfer ,  commute ,  convert ,  replace ,  switch ,  turn ,  reverse ,  alter ,  modify ,  redeem ,  trade ,  sell ,  launder ,  swap ,  ransom ,  break ,  utilize ,  cash ,  alternate ,  capitalize ,  substitute ,  barter   | 0.0 | .1 | 16
reevaluate 	   measure ,  evaluate ,  assess ,  value   | 0.0 | .1 | 4
tax 	   levy ,  impose ,  assess ,  determine ,  set ,  task ,  strain ,  extend ,  charge ,  tariff ,  excise   | 0.0 | .1 | 9
streamline 	    | 0.0 | .1 | 0
bask 	   enjoy* ,  lie   | 0.0 | .1 | 2
rein 	   command ,  stop ,  halt ,  rule ,  restrict ,  restrain ,  limit ,  bound ,  confine ,  pull   | 0.0 | .1 | 10
flop 	   collapse^ ,  give ,  break ,  founder ,  descend ,  fall ,  fail^   | 0.0 | .1 | 8
guess 	   think ,  suppose ,  imagine ,  reckon ,  expect ,  anticipate ,  venture ,  pretend ,  hazard ,  speculate ,  estimate ,  gauge ,  judge ,  calculate ,  compute ,  figure ,  solve ,  work ,  underestimate ,  make ,  count ,  predict ,  assess ,  place ,  tell ,  promise ,  suspect ,  prognosticate ,  foretell ,  surmise ,  call ,  give ,  put ,  set   | 0.0 | .1 | 19
exert 	   exercise ,  use ,  utilize ,  utilise ,  apply ,  employ ,  wield ,  maintain ,  have ,  hold ,  act ,  move   | 0.0 | .1 | 12
yawn 	   breathe ,  gape ,  be   | 0.0 | .1 | 3
skateboard 	   skate   | 0.0 | .1 | 1
hone 	   sharpen ,  perfect ,  better ,  improve* ,  round ,  polish ,  set   | 0.0 | .1 | 4
prise 	   prize ,  lever ,  jimmy ,  open ,  respect ,  esteem ,  value ,  see ,  consider ,  reckon ,  view ,  regard ,  admire ,  fear ,  revere   | 0.0 | .1 | 13
browbeat 	   bully ,  intimidate ,  swagger ,  cajole   | 0.0 | .1 | 5
end 	   stop ,  finish ,  terminate ,  cease ,  change ,  alter ,  modify ,  be ,  destroy ,  culminate* ,  lift ,  raise ,  go ,  resolve ,  complete ,  conclude ,  break ,  axe ,  lapse ,  decide ,  settle ,  close ,  climax ,  disappear ,  kill ,  finalise ,  recess ,  interrupt ,  vanish ,  closure ,  dissolve   | 0.0 | .1 | 11
revive 	   animate ,  renovate ,  repair ,  quicken ,  stimulate ,  arouse ,  brace ,  energize ,  boom ,  prosper ,  thrive ,  flourish ,  expand* ,  restore ,  rejuvenate* ,  turn ,  raise ,  boot   | 0.0 | .1 | 16
stride 	   walk ,  track ,  cover ,  cross   | 0.0 | .1 | 4
puzzle 	   vex ,  stick ,  get ,  baffle ,  beat ,  pose ,  bewilder ,  gravel ,  amaze ,  confuse ,  throw ,  befuddle ,  confound ,  ponder ,  contemplate ,  muse ,  reflect ,  mull ,  speculate ,  escape ,  elude ,  riddle   | 0.0 | .1 | 19
tent 	   camp ,  live ,  inhabit   | 0.0 | .1 | 3
stare 	   gaze ,  look ,  glare   | 0.0 | .1 | 3
figure 	   calculate ,  estimate ,  reckon ,  forecast ,  evaluate ,  judge ,  enter ,  be ,  visualize ,  visualise ,  project ,  fancy ,  see ,  picture ,  image ,  imagine ,  envisage ,  compute ,  reason ,  grok ,  savvy ,  dig ,  compass ,  survey ,  gauge ,  allow ,  divide ,  average ,  resolve ,  extract ,  budget ,  process ,  guess ,  add ,  solve ,  extrapolate ,  subtract ,  multiply ,  fraction ,  capitalize ,  factor ,  deduct ,  integrate   | 0.0 | .1 | 25
drum 	   beat ,  sound ,  go ,  play ,  cram ,  swot ,  bone ,  study   | 0.0 | .1 | 8
invite 	   arouse ,  elicit ,  kindle ,  evoke ,  fire ,  raise ,  provoke ,  request ,  bespeak ,  quest ,  tempt ,  stimulate ,  shake ,  excite ,  stir ,  bid ,  interact ,  receive ,  invite ,  absorb ,  challenge ,  welcome ,  assume ,  see ,  allure   | 0.0 | .1 | 26
ramp 	   rage ,  storm ,  act ,  behave ,  do ,  supply ,  provide ,  furnish ,  model ,  pose ,  sit ,  posture ,  climb ,  mount ,  stand   | 0.0 | .1 | 15
drug 	   dose ,  medicine ,  consume ,  take ,  have ,  inject ,  overdose ,  poison   | 0.0 | .1 | 5
choose 	   take ,  select ,  decide ,  determine ,  prefer ,  opt ,  evaluate ,  judge ,  vote ,  go ,  screen ,  extract ,  pick ,  follow ,  sieve ,  fix ,  side ,  nominate ,  propose ,  sift ,  adopt ,  draw ,  espouse ,  excerpt ,  elect ,  assign ,  limit ,  field ,  sort ,  plump ,  dial ,  specify ,  set   | 0.0 | .1 | 8
conclude 	   reason ,  think ,  end ,  terminate ,  resolve ,  agree ,  hold ,  close^ ,  stop ,  finish ,  cease ,  feel ,  find ,  gather ,  deduce ,  derive ,  settle ,  extrapolate ,  close ,  determine ,  deduct ,  induce   | 0.0 | .1 | 14
authorise 	   authorize ,  appoint ,  charge ,  pass ,  clear ,  permit ,  allow ,  let ,  approve ,  licence ,  entitle ,  commission ,  okay ,  sanction ,  validate ,  declare ,  license ,  certify ,  certificate   | 0.0 | .1 | 9
revamp 	   renew ,  repair ,  mend ,  fix ,  doctor ,  restore   | 0.0 | .1 | 6
distil 	   liquefy ,  flux ,  extract ,  make ,  create ,  change ,  exude ,  ooze   | 0.0 | .1 | 8
craft 	   fashion ,  forge   | 0.0 | .1 | 2
labor 	   labour ,  push ,  drive ,  fight ,  struggle ,  grind ,  dig ,  work ,  experience ,  receive ,  have ,  get ,  undergo ,  strive ,  strain ,  reach   | 0.0 | .1 | 15
apologize 	   apologise ,  excuse ,  justify ,  rationalize ,  defend ,  support ,  plead ,  gloss ,  colour ,  extenuate ,  mitigate ,  color   | 0.0 | .1 | 7
compensate 	   correct ,  balance ,  repair ,  pay ,  cover ,  right ,  redress ,  change ,  alter ,  modify ,  settle ,  carry ,  give ,  recoup ,  reimburse   | 0.0 | .1 | 15
waste 	   blow ,  squander ,  use ,  expend ,  utilize ,  utilise ,  apply ,  employ ,  fling ,  toss ,  dispose ,  run ,  flow ,  feed ,  course ,  kill ,  consume ,  ware ,  spend ,  drop ,  languish ,  weaken ,  enfeeble ,  debilitate ,  drain ,  devastate ,  ravage ,  destroy ,  ruin ,  deteriorate ,  splurge ,  burn ,  lavish ,  shower ,  fool ,  overspend ,  shoot   | 0.0 | .1 | 34
recur 	   repeat ,  happen ,  occur ,  pass ,  return ,  recall ,  resort ,  use ,  utilize ,  utilise ,  apply ,  employ ,  cycle ,  iterate   | 0.0 | .1 | 12
swarm 	   teem ,  hum ,  buzz ,  seethe ,  pour ,  stream ,  crowd ,  crawl   | 0.0 | .1 | 8
neighbour 	   neighbor ,  live ,  inhabit ,  border ,  edge ,  march   | 0.0 | .1 | 7
chastise 	   castigate ,  correct ,  rebuke ,  rag ,  jaw ,  lambaste ,  flame   | 0.0 | .1 | 6
grin 	   smile   | 0.0 | .1 | 1
concert 	   plan ,  project ,  design ,  settle ,  determine   | 0.0 | .1 | 5
adventure 	   gamble ,  chance ,  risk ,  hazard ,  try ,  seek ,  attempt ,  essay ,  venture ,  stake   | 0.0 | .1 | 12
sit 	   be ,  convene ,  model ,  pose ,  posture ,  expose ,  exhibit ,  display ,  ride ,  travel ,  go ,  move ,  seat ,  put ,  set ,  place ,  position ,  lay ,  extend ,  rest ,  lounge ,  ramp ,  hunker ,  sprawl ,  crouch ,  perch ,  override ,  squat   | 0.0 | .1 | 19
conserve 	   keep ,  maintain ,  hold ,  preserve* ,  husband ,  save   | 0.0 | .1 | 11
ransom 	   redeem ,  exchange ,  change ,  interchange   | 0.0 | .1 | 4
malign 	   badmouth   | 0.0 | .1 | 1
biff 	   pummel ,  hit   | 0.0 | .1 | 2
romance 	   woo ,  court ,  act ,  move ,  love ,  butterfly ,  mash ,  talk ,  speak ,  lie ,  chase ,  display   | 0.0 | .1 | 10
conceal 	   hide ,  shield ,  disguise ,  bury ,  secrete ,  cover ,  obscure ,  fog ,  harbor ,  block ,  veil ,  lurk ,  mist ,  cloud ,  bosom ,  obstruct   | 0.0 | .1 | 1
dig 	   remove ,  take ,  withdraw ,  labor ,  labour ,  grind ,  work ,  jab ,  prod ,  stab ,  poke ,  grok ,  savvy ,  compass ,  understand ,  lift ,  ditch ,  root ,  drive ,  figure ,  tunnel ,  tumble ,  digest ,  spade ,  shovel ,  rout   | 0.0 | .1 | 18
lengthen 	   increase ,  grow ,  extend ,  stretch ,  prolong   | 0.0 | .1 | 2
glare 	   stare ,  reflect ,  shine ,  beam ,  beat   | 0.0 | .1 | 5
outline 	   sketch ,  describe ,  depict ,  draw ,  draft ,  write ,  pen   | 0.0 | .1 | 8
balk 	   resist   | 0.0 | .1 | 1
drink 	   consume ,  take ,  have ,  booze ,  toast ,  pledge ,  salute ,  honour ,  reward* ,  steep ,  engulf ,  plunge ,  engross ,  absorb ,  use ,  hold ,  wine ,  suck ,  down ,  carry ,  pop ,  give ,  soak ,  kill ,  port   | 0.0 | .1 | 18
forecast 	   calculate ,  predict ,  foretell ,  prognosticate ,  call ,  anticipate ,  promise ,  estimate ,  reckon ,  figure ,  evaluate ,  judge ,  bode ,  betoken ,  bespeak ,  indicate ,  point ,  signal ,  threaten^ ,  allow   | 0.0 | .1 | 23
pave 	   coat ,  surface   | 0.0 | .1 | 2
dust 	   clean ,  blur ,  smudge ,  cover ,  scatter ,  sprinkle ,  dot ,  disperse ,  spray ,  splash   | 0.0 | .1 | 8
audit 	   scrutinise ,  inspect ,  analyze ,  analyse ,  study ,  examine ,  canvas ,  learn ,  read ,  take   | 0.0 | .1 | 11
discount 	   dismiss ,  disregard ,  ignore ,  reject ,  allow ,  flout ,  rebate ,  discredit ,  scoff ,  slight   | 0.0 | .1 | 4
pattern 	   model ,  imitate ,  copy ,  simulate ,  match ,  fit ,  correspond ,  check ,  gibe ,  tally ,  agree ,  scale   | 0.0 | .1 | 11
command 	   dominate ,  master* ,  require ,  compel ,  order ,  tell ,  say ,  demand ,  exact ,  overlook ,  lie ,  control ,  command ,  overshadow ,  hold ,  preside ,  shadow ,  care ,  steer ,  head ,  disallow ,  handle ,  prohibit^ ,  rein ,  rule ,  point ,  veto ,  charge ,  officer ,  guide ,  saddle ,  manage ,  burden ,  govern ,  general ,  deal ,  dwarf ,  forbid ,  corner ,  manoeuvre ,  charm ,  direct ,  channelise   | 0.0 | .1 | 14
administer 	   manage ,  deal ,  care ,  handle ,  give ,  apply ,  distribute ,  lot ,  allot ,  treat ,  supervise ,  assign ,  oversee ,  inject ,  portion ,  shoot   | 0.0 | .1 | 12
barricade 	   block ,  blockade ,  stop ,  bar ,  obstruct ,  impede ,  jam ,  close   | 0.0 | .1 | 16
diversify 	   change ,  alter ,  modify ,  vary ,  broaden   | 0.0 | .1 | 10
draw 	   pull ,  force ,  move ,  displace ,  reap ,  derive ,  gain ,  trace ,  line ,  describe ,  mark ,  make ,  remove ,  take ,  represent ,  interpret ,  depict ,  choose ,  select ,  arouse ,  elicit ,  kindle ,  evoke ,  fire ,  raise ,  provoke ,  drag ,  inspire ,  travel ,  go ,  cast ,  get ,  effect ,  change ,  alter ,  modify ,  write ,  pen ,  create ,  close^ ,  shut ,  be ,  necessitate ,  ask ,  need ,  require ,  involve ,  demand ,  quarter ,  kill ,  absorb ,  suck ,  attract ,  string ,  thread ,  arrange ,  stretch ,  guide ,  run ,  pass ,  tie ,  equal ,  match ,  equate ,  thin ,  steep ,  infuse ,  shape ,  form ,  bring ,  cart ,  divert ,  jerk ,  diagram ,  wire ,  plunk ,  pick ,  haul ,  project ,  withdraw ,  arrest ,  mature ,  rack ,  pencil ,  outline ,  check ,  rule ,  plot ,  sketch ,  catch ,  pluck ,  siphon ,  chalk ,  tap ,  pump ,  mop ,  sluice ,  milk ,  rub ,  construct ,  shade ,  disinvest ,  cheque ,  blot ,  cartoon ,  tweak   | 0.0 | .1 | 90
soften 	   weaken ,  break ,  blunt ,  yield ,  relent ,  cushion ,  buffer ,  modify ,  moderate ,  change ,  alter ,  deafen ,  mute ,  dull ,  muffle   | 0.0 | .1 | 16
glut 	   gorge ,  engorge ,  eat ,  flood ,  supply ,  provide ,  furnish ,  stuff   | 0.0 | .1 | 7
room 	   board ,  live ,  inhabit   | 0.0 | .1 | 3
predict 	   foretell ,  prognosticate ,  call ,  anticipate ,  promise ,  guess ,  venture ,  pretend ,  hazard ,  bode ,  betoken ,  forecast ,  bespeak ,  indicate ,  point ,  signal ,  threaten^ ,  read ,  calculate ,  prophesy ,  bet   | 0.0 | .1 | 19
glue 	   paste ,  attach   | 0.0 | .1 | 2
crack 	   check ,  break ,  change ,  sound ,  go ,  snap ,  hit ,  pass ,  separate ,  collapse^ ,  suffer ,  sustain* ,  have ,  get ,  tell ,  alter ,  modify ,  alligator ,  chink ,  craze   | 0.0 | .1 | 25
coin 	   mint ,  strike ,  sloganeer   | 0.0 | .1 | 2
check 	   analyze ,  analyse ,  study ,  examine ,  canvas ,  see ,  insure ,  ensure ,  control ,  assure* ,  verify ,  hold ,  contain ,  curb ,  moderate ,  restrain ,  suppress ,  keep ,  stop ,  halt ,  mark ,  tick ,  delay ,  change ,  alter ,  modify ,  match ,  fit ,  correspond ,  gibe ,  tally ,  agree ,  equal ,  be ,  obstruct ,  blockade ,  block ,  embarrass ,  discipline ,  train ,  condition ,  develop ,  charge ,  draw ,  move ,  go ,  arrest ,  defend ,  attack ,  issue ,  cut ,  determine ,  watch ,  learn ,  chink ,  crack ,  break ,  look ,  consist ,  parallel ,  support ,  stay ,  square ,  suit ,  coincide ,  twin ,  screen ,  observe ,  correlate ,  follow ,  resemble ,  cover ,  pattern ,  accord ,  deny ,  test ,  card ,  catch ,  answer ,  stem ,  corroborate ,  meet ,  counteract ,  receipt ,  limit ,  restrict ,  conquer ,  bound ,  confine ,  detain ,  befit ,  rhyme ,  subdue ,  align ,  adhere ,  cinch ,  proof ,  underpin   | 0.0 | .1 | 73
blindfold 	   cover   | 0.0 | .1 | 1
trash 	   junk ,  scrap ,  fling ,  toss ,  dispose   | 0.0 | .1 | 5
crisp 	   wrinkle ,  fold ,  toast ,  heat ,  knit   | 0.0 | .1 | 4
pity 	   grieve ,  sorrow ,  care   | 0.0 | .1 | 2
accelerate 	   speed ,  quicken ,  intensify ,  deepen ,  modify ,  qualify ,  brisk   | 0.0 | .1 | 7
garage 	   store   | 0.0 | .1 | 1
become 	   go ,  get ,  turn ,  transform ,  suit ,  choke^ ,  work ,  occur ,  reduce ,  take ,  form ,  root ,  spring ,  rise ,  suffocate ,  make ,  sober ,  break ,  run ,  amount ,  originate ,  develop ,  settle ,  grow ,  arise* ,  uprise   | 0.0 | .1 | 6
gain 	   derive ,  obtain ,  acquire ,  win* ,  get ,  profit ,  benefit* ,  reach ,  make ,  attain ,  hit ,  advance ,  wax ,  mount ,  climb ,  rise ,  increase ,  clear ,  earn ,  realize ,  realise ,  turn ,  ground ,  culminate* ,  score* ,  pay ,  find ,  yield ,  breast ,  tally ,  summit ,  draw ,  bear ,  net ,  sack ,  top ,  steal ,  scale ,  peak ,  reap ,  round ,  gross ,  access ,  capitalize   | 0.0 | .1 | 30
interact 	   act ,  move ,  marginalise ,  affiliate ,  combine ,  have ,  handle ,  relate ,  manipulate ,  invite ,  condescend ,  intervene ,  assemble ,  transact ,  meet ,  control ,  connect ,  interfere ,  treat ,  associate ,  womanise ,  marginalize ,  assort ,  communicate ,  patronize   | 0.0 | .1 | 2
identify 	   place ,  determine ,  set ,  name ,  refer ,  see ,  consider ,  reckon ,  view ,  regard ,  associate ,  relate ,  link ,  connect ,  discover ,  key ,  describe ,  recognize ,  type ,  list ,  number ,  tell ,  separate ,  mistake ,  announce ,  enumerate ,  itemize ,  taste   | 0.0 | .1 | 19
hum 	   sing ,  buzz ,  seethe ,  be ,  sound ,  go ,  resound ,  noise ,  swarm ,  teem   | 0.0 | .1 | 8
pillow 	   rest ,  put ,  set ,  place ,  pose ,  position ,  lay   | 0.0 | .1 | 7
avoid 	   deflect ,  avert ,  prevent ,  forestall ,  foreclose^ ,  preclude ,  forbid ,  refrain ,  desist ,  invalidate ,  void ,  cancel ,  skirt ,  miss ,  shun ,  break ,  escape ,  elude ,  dodge ,  hedge ,  eschew ,  duck   | 0.0 | .1 | 12
constitute 	   represent ,  comprise ,  be ,  appoint ,  name ,  nominate ,  establish ,  found ,  plant ,  institute ,  form ,  make ,  initiate ,  pioneer ,  range ,  pose ,  fix ,  supplement ,  add ,  present ,  pack   | 0.0 | .1 | 21
schedule 	   plan ,  reschedule ,  time ,  program ,  book ,  calendar ,  programme ,  slot   | 0.0 | .1 | 2
select 	   choose ,  take ,  decide ,  determine ,  panel ,  vote ,  go ,  screen ,  extract ,  pick ,  follow ,  sieve ,  fix ,  side ,  nominate ,  propose ,  sift ,  adopt ,  draw ,  espouse ,  excerpt ,  assign ,  limit ,  field ,  sort ,  plump ,  dial ,  specify ,  set   | 0.0 | .1 | 4
cop 	   hook ,  thieve ,  steal ,  collar ,  nail ,  arrest ,  nab ,  seize ,  clutch   | 0.0 | .1 | 9
stage 	   present ,  represent ,  arrange ,  initiate ,  pioneer ,  place ,  phase ,  set   | 0.0 | .1 | 5
ascend 	   travel ,  go ,  move ,  accede ,  enter ,  follow ,  slope ,  incline ,  pitch ,  rise ,  uprise ,  lift ,  arise* ,  surface   | 0.0 | .1 | 15
overreach 	   fail^ ,  beat ,  surpass ,  outgo ,  exceed ,  outdo ,  outperform   | 0.0 | .1 | 7
merit 	   deserve ,  be   | 0.0 | .1 | 2
seed 	   spill ,  shed ,  finance ,  bear ,  put ,  set ,  place ,  pose ,  position ,  lay ,  rate ,  rank ,  range ,  order ,  grade ,  process ,  treat ,  remove ,  take ,  withdraw ,  broadcast ,  scatter   | 0.0 | .1 | 21
swim 	   travel ,  go ,  move ,  float ,  school ,  dive ,  buoy ,  crawl   | 0.0 | .1 | 7
privatize 	   privatise   | 0.0 | .1 | 1
flail 	   thrash ,  beat   | 0.0 | .1 | 3
assess 	   measure ,  evaluate ,  value ,  judge ,  charge ,  bill ,  tax ,  determine ,  set ,  estimate ,  gauge ,  guess ,  standardize ,  score* ,  praise ,  reevaluate ,  rate ,  mark ,  grade ,  censor   | 0.0 | .1 | 14
terminate 	   end ,  change ,  alter ,  modify ,  stop ,  finish ,  cease ,  be ,  fire ,  can ,  dismiss ,  sack ,  remove ,  culminate* ,  lift ,  raise ,  go ,  resolve ,  complete ,  conclude ,  break ,  axe ,  lapse ,  drop ,  decide ,  settle ,  close ,  climax ,  disappear ,  kill ,  finalise ,  retire ,  recess ,  interrupt ,  vanish ,  closure ,  dissolve   | 0.0 | .1 | 15
house 	   accommodate ,  hold ,  admit ,  shelter ,  home ,  chamber   | 0.0 | .1 | 4
function 	   work ,  operate ,  go ,  run ,  serve ,  suffice ,  do ,  answer ,  service ,  roll ,  double ,  cut   | 0.0 | .1 | 10
funnel 	   move ,  displace   | 0.0 | .1 | 2
privilege 	   favor ,  favour ,  permit ,  allow ,  let   | 0.0 | .1 | 5
toss 	   sky ,  pitch ,  fling ,  turn ,  chuck ,  throw ,  thrash ,  slash ,  shake ,  agitate ,  dispose ,  remove ,  vex ,  disturb ,  whip ,  abandon ,  scrap ,  waste ,  trash ,  dump ,  jettison ,  retire ,  lag ,  tumble ,  junk   | 0.0 | .1 | 16
smooth 	   polish ,  shine ,  free ,  strip ,  launch ,  float ,  sand ,  burnish ,  plane ,  sleek ,  gloss ,  file ,  slick ,  rake   | 0.0 | .1 | 3
place 	   put ,  set ,  pose ,  position ,  lay ,  move ,  delegate ,  designate ,  assign ,  rate ,  rank ,  range ,  order ,  grade ,  evaluate ,  judge ,  locate ,  site ,  station ,  post ,  base ,  send ,  target ,  aim ,  direct ,  point ,  take ,  train ,  identify ,  determine ,  stage ,  present ,  represent ,  estimate ,  gauge ,  guess ,  invest ,  commit ,  spend ,  expend ,  drop ,  race ,  run ,  sing ,  replace ,  pile ,  ground ,  subordinate ,  deposit ,  shelve ,  ship ,  downgrade^ ,  step ,  lose^ ,  upgrade ,  sign ,  address ,  cram ,  introduce ,  marshal ,  juxtapose ,  job ,  rest ,  middle ,  plant ,  speculate ,  barrel ,  load ,  fund ,  prioritise ,  fix ,  stand ,  sit ,  pillow ,  seed ,  tell ,  separate ,  install ,  bed ,  space ,  lean ,  throw ,  jar ,  settle ,  siphon ,  uproot ,  docket ,  insert ,  park ,  displace ,  bottle ,  fort ,  stick ,  seat ,  arrange ,  recess ,  perch ,  shelter ,  intersperse ,  instal ,  sequence ,  bucket ,  poise ,  shortlist ,  superimpose   | 0.0 | .1 | 63
convince 	   convert ,  persuade   | 0.0 | .1 | 2
scrabble 	   feel ,  write   | 0.0 | .1 | 2
